Date,Time,location_name,latitude,longitude,pm25,datetime,AQI
2025-01-01,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,273.04,2025-01-01 00:00:00,319.0
2025-01-01,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,314.04,2025-01-01 01:00:00,351.7
2025-01-01,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,138.58,2025-01-01 02:00:00,193.9
2025-01-01,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,103.87,2025-01-01 03:00:00,176.0
2025-01-01,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,108.87,2025-01-01 04:00:00,178.6
2025-01-01,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,176.33,2025-01-01 05:00:00,226.6
2025-01-01,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,228.35,2025-01-01 06:00:00,278.1
2025-01-01,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,148.53,2025-01-01 07:00:00,199.0
2025-01-01,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,172.06,2025-01-01 08:00:00,222.4
2025-01-01,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,156.43,2025-01-01 09:00:00,206.9
2025-01-01,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,136.66,2025-01-01 10:00:00,192.9
2025-01-01,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,110.67,2025-01-01 11:00:00,179.5
2025-01-01,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,120.91,2025-01-01 12:00:00,184.8
2025-01-01,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,79.17,2025-01-01 13:00:00,163.2
2025-01-01,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,19.17,2025-01-01 14:00:00,65.9
2025-01-01,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,6.71,2025-01-01 15:00:00,28.0
2025-01-01,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,6.75,2025-01-01 16:00:00,28.1
2025-01-01,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,7.18,2025-01-01 17:00:00,29.9
2025-01-01,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.92,2025-01-01 18:00:00,49.7
2025-01-01,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.37,2025-01-01 19:00:00,51.6
2025-01-01,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.97,2025-01-01 20:00:00,49.9
2025-01-01,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.55,2025-01-01 21:00:00,39.8
2025-01-01,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.01,2025-01-01 22:00:00,41.7
2025-01-01,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,7.77,2025-01-01 23:00:00,32.4
2025-01-02,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,8.55,2025-01-02 00:00:00,35.6
2025-01-02,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.17,2025-01-02 01:00:00,55.4
2025-01-02,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.79,2025-01-02 02:00:00,56.7
2025-01-02,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.03,2025-01-02 03:00:00,57.2
2025-01-02,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.34,2025-01-02 04:00:00,55.7
2025-01-02,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,23.76,2025-01-02 05:00:00,75.5
2025-01-02,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.47,2025-01-02 06:00:00,62.3
2025-01-02,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,18.43,2025-01-02 07:00:00,64.3
2025-01-02,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,31.82,2025-01-02 08:00:00,92.5
2025-01-02,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,45.34,2025-01-02 09:00:00,125.2
2025-01-02,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,23.64,2025-01-02 10:00:00,75.3
2025-01-02,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,25.8,2025-01-02 11:00:00,79.8
2025-01-02,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.18,2025-01-02 12:00:00,51.2
2025-01-02,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,22.32,2025-01-02 13:00:00,72.5
2025-01-02,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,35.33,2025-01-02 14:00:00,99.9
2025-01-02,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.38,2025-01-02 15:00:00,39.1
2025-01-02,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,8.27,2025-01-02 16:00:00,34.5
2025-01-02,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.39,2025-01-02 17:00:00,47.5
2025-01-02,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.31,2025-01-02 18:00:00,62.0
2025-01-02,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,18.7,2025-01-02 19:00:00,64.9
2025-01-02,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,16.52,2025-01-02 20:00:00,60.3
2025-01-02,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.85,2025-01-02 21:00:00,54.7
2025-01-02,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,7.16,2025-01-02 22:00:00,29.8
2025-01-02,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,5.39,2025-01-02 23:00:00,22.5
2025-01-03,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,4.32,2025-01-03 00:00:00,18.0
2025-01-03,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,4.25,2025-01-03 01:00:00,17.7
2025-01-03,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,3.88,2025-01-03 02:00:00,16.2
2025-01-03,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.38,2025-01-03 03:00:00,39.1
2025-01-03,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,5.67,2025-01-03 04:00:00,23.6
2025-01-03,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,6.51,2025-01-03 05:00:00,27.1
2025-01-03,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,7.28,2025-01-03 06:00:00,30.3
2025-01-03,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.27,2025-01-03 07:00:00,42.8
2025-01-03,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.46,2025-01-03 08:00:00,58.1
2025-01-03,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,29.41,2025-01-03 09:00:00,87.4
2025-01-03,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.8,2025-01-03 10:00:00,52.5
2025-01-03,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.14,2025-01-03 11:00:00,42.3
2025-01-03,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.16,2025-01-03 12:00:00,38.2
2025-01-03,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,33.74,2025-01-03 13:00:00,96.5
2025-01-03,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,21.64,2025-01-03 14:00:00,71.1
2025-01-03,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.27,2025-01-03 15:00:00,61.9
2025-01-03,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.97,2025-01-03 16:00:00,63.3
2025-01-03,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.72,2025-01-03 17:00:00,56.5
2025-01-03,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.22,2025-01-03 18:00:00,55.5
2025-01-03,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.99,2025-01-03 19:00:00,59.2
2025-01-03,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,28.36,2025-01-03 20:00:00,85.2
2025-01-03,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,16.43,2025-01-03 21:00:00,60.1
2025-01-03,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,8.97,2025-01-03 22:00:00,37.4
2025-01-03,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,5.39,2025-01-03 23:00:00,22.5
2025-01-04,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,5.54,2025-01-04 00:00:00,23.1
2025-01-04,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,6.02,2025-01-04 01:00:00,25.1
2025-01-04,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,7.17,2025-01-04 02:00:00,29.9
2025-01-04,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,6.38,2025-01-04 03:00:00,26.6
2025-01-04,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,7.77,2025-01-04 04:00:00,32.4
2025-01-04,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.26,2025-01-04 05:00:00,38.6
2025-01-04,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,18.63,2025-01-04 06:00:00,64.7
2025-01-04,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,29.09,2025-01-04 07:00:00,86.7
2025-01-04,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,30.52,2025-01-04 08:00:00,89.7
2025-01-04,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,60.45,2025-01-04 09:00:00,153.6
2025-01-04,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,34.2,2025-01-04 10:00:00,97.5
2025-01-04,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,27.01,2025-01-04 11:00:00,82.4
2025-01-04,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,18.53,2025-01-04 12:00:00,64.5
2025-01-04,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,25.47,2025-01-04 13:00:00,79.1
2025-01-04,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,22.93,2025-01-04 14:00:00,73.8
2025-01-04,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,8.93,2025-01-04 15:00:00,37.2
2025-01-04,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.46,2025-01-04 16:00:00,43.6
2025-01-04,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.39,2025-01-04 17:00:00,51.6
2025-01-04,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.77,2025-01-04 18:00:00,54.5
2025-01-04,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,18.17,2025-01-04 19:00:00,63.8
2025-01-04,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.14,2025-01-04 20:00:00,61.6
2025-01-04,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.05,2025-01-04 21:00:00,57.2
